Ck,Ck_bias,adanet_fit_time,adanet_mean,adanet_std,beta,bolAugment,bolAugmentLayers,capitalLambda,dataset,lossFirst,lossFirstChange,lossLast,lossLastChange,lowerLambda,maxLayers,maxNodes,numL,numN,,,,
0.1,0.1,50,12.96890783,0.659863946,0,0,TRUE,TRUE,0.1,twospirals,[1.10497128],-0.004239601,[1.09566885],0,1.00E-06,3,100,2,"[[5]
 [1]
 [0]]",,,
0.1,0.1,50,13.25191116,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10570658],-0.004445249,[1.09514493],0,1.00E-06,3,100,2,"[[9]
 [1]
 [0]]",,,
0.1,0.1,50,12.75010228,0.659410431,0,0,FALSE,TRUE,0.1,twospirals,[1.10660287],-0.004861954,[1.09532635],0,1.00E-06,3,100,2,"[[7]
 [1]
 [0]]",,,
0.1,0.1,50,12.28109694,0.659410431,0,0,FALSE,FALSE,0.1,twospirals,[1.10537796],-0.00439332,[1.09548217],0,1.00E-06,3,100,2,"[[8]
 [1]
 [0]]",,,
1,0.1,50,12.34750175,0.659637188,0,0,TRUE,TRUE,0.1,twospirals,[1.10506664],-0.004267037,[1.09538471],-1.89E-09,0,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
1,0.1,50,12.62330627,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10592608],-0.004695048,[1.09534115],0,0,3,100,2,"[[9]
 [1]
 [0]]",,,
1,0.1,50,15.30492902,0.660090703,0,0,FALSE,TRUE,0.1,twospirals,[1.10495371],-0.004223759,[1.0955467],0,0,3,100,2,"[[6]
 [1]
 [0]]",,,
1,0.1,50,13.49871373,0.660090703,0,0,FALSE,FALSE,0.1,twospirals,[1.1046259],-0.00402663,[1.09553176],0,0,3,100,2,"[[6]
 [1]
 [0]]",,,
1,0.1,50,12.04710102,0.659410431,0,0,TRUE,TRUE,0.1,twospirals,[1.10508991],-0.00428907,[1.0951835],0,0.0001,3,100,2,"[[7]
 [1]
 [0]]",,,
1,0.1,50,12.81270504,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10496004],-0.004220931,[1.09522119],-6.29E-10,0.0001,3,100,2,"[[9]
 [1]
 [0]]",,,
1,0.1,50,15.44974351,0.659637188,0,0,FALSE,TRUE,0.1,twospirals,[1.10445931],-0.003916224,[1.09498289],4.78E-11,0.0001,3,100,2,"[[9]
 [1]
 [0]]",,,
1,0.1,50,11.82990742,0.659637188,0,0,FALSE,FALSE,0.1,twospirals,[1.10536308],-0.004242412,[1.09551219],-2.27E-11,0.0001,3,100,2,"[[5]
 [1]
 [0]]",,,
1,0.1,50,15.91473508,0.659637188,0,0,TRUE,TRUE,0.1,twospirals,[1.10590938],-0.004626675,[1.09529535],0,1.00E-05,3,100,2,"[[7]
 [1]
 [0]]",,,
1,0.1,50,14.26232624,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10437674],-0.00381138,[1.09552221],-2.47E-08,1.00E-05,3,100,2,"[[9]
 [1]
 [0]]",,,
1,0.1,50,14.39392877,0.659863946,0,0,FALSE,TRUE,0.1,twospirals,[1.10664521],-0.004950151,[1.09490863],-3.49E-10,1.00E-05,3,100,2,"[[7]
 [1]
 [0]]",,,
1,0.1,50,14.41813302,0.660090703,0,0,FALSE,FALSE,0.1,twospirals,[1.10599203],-0.004438737,[1.09518587],-5.33E-07,1.00E-05,3,100,2,"[[8]
 [1]
 [0]]",,,
1,0.1,50,14.18573165,0.659863946,0,0,TRUE,TRUE,0.1,twospirals,[1.10561595],-0.004546828,[1.09474348],-2.54E-09,1.00E-06,3,100,2,"[[9]
 [1]
 [0]]",,,
1,0.1,50,14.34912896,0.659410431,0,0,TRUE,FALSE,0.1,twospirals,[1.10501843],-0.004159757,[1.09546786],-5.21E-09,1.00E-06,3,100,2,"[[8]
 [1]
 [0]]",,,
1,0.1,50,15.15853715,0.659863946,0,0,FALSE,TRUE,0.1,twospirals,[1.10592609],-0.004708011,[1.09533119],0,1.00E-06,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
1,0.1,50,11.93870258,0.659863946,0,0,FALSE,FALSE,0.1,twospirals,[1.10483657],-0.004154881,[1.09516863],-1.23E-05,1.00E-06,3,100,2,"[[9]
 [1]
 [0]]",,,
10,0.1,50,11.15631294,0.659637188,0,0,TRUE,TRUE,0.1,twospirals,[1.104287],-0.003831939,[1.09489154],0,0,3,100,2,"[[5]
 [1]
 [0]]",,,
10,0.1,50,11.37490344,0.659863946,0,0,TRUE,FALSE,0.1,twospirals,[1.1063367],-0.004666459,[1.09539108],0,0,3,100,2,"[[6]
 [1]
 [0]]",,,
10,0.1,50,13.57092071,0.659637188,0,0,FALSE,TRUE,0.1,twospirals,[1.10692923],-0.005091499,[1.09486821],0,0,3,100,2,"[[5]
 [1]
 [0]]",,,
10,0.1,50,12.98372316,0.660090703,0,0,FALSE,FALSE,0.1,twospirals,[1.10579951],-0.004384751,[1.09532977],0,0,3,100,2,"[[6]
 [1]
 [0]]",,,
10,0.1,50,12.26231575,0.659410431,0,0,TRUE,TRUE,0.1,twospirals,[1.10564425],-0.004535678,[1.0954073],0,0.0001,3,100,2,"[[8]
 [1]
 [0]]",,,
10,0.1,50,12.62990594,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10541706],-0.004436357,[1.09521911],-5.33E-07,0.0001,3,100,2,"[[6]
 [1]
 [0]]",,,
10,0.1,50,11.4695034,0.659410431,0,0,FALSE,TRUE,0.1,twospirals,[1.10391796],-0.003561288,[1.09530152],0,0.0001,3,100,2,"[[4]
 [1]
 [0]]",,,
10,0.1,50,11.91330886,0.659637188,0,0,FALSE,FALSE,0.1,twospirals,[1.10568314],-0.004407978,[1.09586975],0,0.0001,3,100,2,"[[4]
 [1]
 [0]]",,,
10,0.1,50,14.19812417,0.659863946,0,0,TRUE,TRUE,0.1,twospirals,[1.10551302],-0.004506051,[1.09530885],0,1.00E-05,3,100,2,"[[8]
 [1]
 [0]]",,,
10,0.1,50,13.76791477,0.659863946,0,0,TRUE,FALSE,0.1,twospirals,[1.10491725],-0.004091482,[1.09477211],0,1.00E-05,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
10,0.1,50,16.9089427,0.659863946,0,0,FALSE,TRUE,0.1,twospirals,[1.10454395],-0.003845381,[1.09488529],0,1.00E-05,3,100,2,"[[9]
 [1]
 [0]]",,,
10,0.1,50,14.23232102,0.659637188,0,0,FALSE,FALSE,0.1,twospirals,[1.10425717],-0.003826346,[1.09515733],0,1.00E-05,3,100,2,"[[9]
 [1]
 [0]]",,,
10,0.1,50,16.25931168,0.659863946,0,0,TRUE,TRUE,0.1,twospirals,[1.10498699],-0.004215045,[1.09521576],0,1.00E-06,3,100,2,"[[7]
 [1]
 [0]]",,,
10,0.1,50,15.8313303,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10496814],-0.0042395,[1.09568175],0,1.00E-06,3,100,2,"[[8]
 [1]
 [0]]",,,
10,0.1,50,14.0947783,0.659410431,0,0,FALSE,TRUE,0.1,twospirals,[1.1041958],-0.003734218,[1.09524523],0,1.00E-06,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
10,0.1,50,12.99872398,0.659410431,0,0,FALSE,FALSE,0.1,twospirals,[1.1055689],-0.004523131,[1.09535849],0,1.00E-06,3,100,2,"[[6]
 [1]
 [0]]",,,
100,0.1,50,16.01835775,0.659863946,0,0,TRUE,TRUE,0.1,twospirals,[1.10494006],-0.004212389,[1.09512447],-3.02E-08,0,3,100,2,"[[9]
 [1]
 [0]]",,,
100,0.1,50,12.54712534,0.659863946,0,0,TRUE,FALSE,0.1,twospirals,[1.10490754],-0.003955253,[1.0952823],0,0,3,100,2,"[[9]
 [1]
 [0]]",,,
100,0.1,50,15.52376509,0.659410431,0,0,FALSE,TRUE,0.1,twospirals,[1.10425675],-0.003868057,[1.09498969],-6.63E-09,0,3,100,2,"[[8]
 [1]
 [0]]",,,
100,0.1,50,17.42201138,0.659637188,0,0,FALSE,FALSE,0.1,twospirals,[1.10536333],-0.004154129,[1.09503574],0,0,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
100,0.1,50,13.43108082,0.659637188,0,0,TRUE,TRUE,0.1,twospirals,[1.10361099],-0.00354988,[1.09489905],-1.09E-08,0.0001,3,100,2,"[[7]
 [1]
 [0]]",,,
100,0.1,50,15.69630027,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10630253],-0.004843964,[1.09505656],0,0.0001,3,100,2,"[[11]
 [ 1]
 [ 0]]",,,
100,0.1,50,15.20849228,0.659863946,0,0,FALSE,TRUE,0.1,twospirals,[1.10433486],-0.003905016,[1.09509253],-1.47E-14,0.0001,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
100,0.1,50,12.23547387,0.659637188,0,0,FALSE,FALSE,0.1,twospirals,[1.1053255],-0.004328318,[1.09509561],-5.60E-09,0.0001,3,100,2,"[[9]
 [1]
 [0]]",,,
100,0.1,50,15.72669435,0.659410431,0,0,TRUE,TRUE,0.1,twospirals,[1.10522177],-0.004215871,[1.09494421],-4.33E-12,1.00E-05,3,100,2,"[[9]
 [1]
 [0]]",,,
100,0.1,50,13.77709603,0.659863946,0,0,TRUE,FALSE,0.1,twospirals,[1.10556216],-0.004511264,[1.09512193],-4.62E-08,1.00E-05,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
100,0.1,50,14.1204865,0.659637188,0,0,FALSE,TRUE,0.1,twospirals,[1.1054869],-0.004467134,[1.09546403],0,1.00E-05,3,100,2,"[[4]
 [1]
 [0]]",,,
100,0.1,50,12.70588422,0.659863946,0,0,FALSE,FALSE,0.1,twospirals,[1.10500891],-0.004227152,[1.09509716],0,1.00E-05,3,100,2,"[[5]
 [1]
 [0]]",,,
100,0.1,50,17.26251483,0.659863946,0,0,TRUE,TRUE,0.1,twospirals,[1.10423438],-0.003858429,[1.09528826],-5.64E-09,1.00E-06,3,100,2,"[[10]
 [ 1]
 [ 0]]",,,
100,0.1,50,14.54095936,0.659637188,0,0,TRUE,FALSE,0.1,twospirals,[1.10619565],-0.004842631,[1.09534258],-9.97E-09,1.00E-06,3,100,2,"[[6]
 [1]
 [0]]",,,
100,0.1,50,13.22977638,0.659863946,0,0,FALSE,TRUE,0.1,twospirals,[1.1045376],-0.003905024,[1.09516048],0,1.00E-06,3,100,2,"[[6]
 [1]
 [0]]",,,
100,0.1,50,15.13462663,0.659637188,0,0,FALSE,FALSE,0.1,twospirals,[1.10628928],-0.004881966,[1.09513901],0,1.00E-06,3,100,2,"[[6]
 [1]
 [0]]",,,
0.1,0.1,50,43.23122168,0.698412698,0,0,TRUE,TRUE,1,twospirals,[1.10553429],-0.004506606,[0.96018201],-0.001538675,0,3,100,3,"[[24]
 [22]
 [ 1]]",,,
0.1,0.1,50,40.07264757,0.738321995,0,0,TRUE,FALSE,1,twospirals,[1.10504618],-0.004266754,[0.93214464],-0.001504749,0,3,100,3,"[[23]
 [22]
 [ 2]]",,,
0.1,0.1,50,39.81350827,0.765986395,0,0,FALSE,TRUE,1,twospirals,[1.10653153],-0.005009985,[0.95717841],-0.000708518,0,3,100,2,"[[26]
 [23]
 [ 0]]",,,
0.1,0.1,50,37.90759778,0.799546485,0,0,FALSE,FALSE,1,twospirals,[1.10457787],-0.004030694,[0.90397878],-0.001224811,0,3,100,3,"[[25]
 [22]
 [ 1]]",,,
0.1,0.1,50,38.70897937,0.76984127,0,0,TRUE,TRUE,1,twospirals,[1.10392687],-0.003697486,[0.9313953],-0.004040987,0.0001,3,100,2,"[[27]
 [22]
 [ 0]]",,,
